"","word","sentiment"
"1","abandon","negative"
"2","abandoned","negative"
"3","abandoning","negative"
"4","abandonment","negative"
"5","abandonments","negative"
"6","abandons","negative"
"7","abdicated","negative"
"8","abdicates","negative"
"9","abdicating","negative"
"10","abdication","negative"
"11","abdications","negative"
"12","aberrant","negative"
"13","aberration","negative"
"14","aberrational","negative"
"15","aberrations","negative"
"16","abetting","negative"
"17","abnormal","negative"
"18","abnormalities","negative"
"19","abnormality","negative"
"20","abnormally","negative"
"21","abolish","negative"
"22","abolished","negative"
"23","abolishes","negative"
"24","abolishing","negative"
"25","abrogate","negative"
"26","abrogated","negative"
"27","abrogates","negative"
"28","abrogating","negative"
"29","abrogation","negative"
"30","abrogations","negative"
"31","abrupt","negative"
"32","abruptly","negative"
"33","abruptness","negative"
"34","absence","negative"
"35","absences","negative"
"36","absenteeism","negative"
"37","abuse","negative"
"38","abused","negative"
"39","abuses","negative"
"40","abusing","negative"
"41","abusive","negative"
"42","abusively","negative"
"43","abusiveness","negative"
"44","accident","negative"
"45","accidental","negative"
"46","accidentally","negative"
"47","accidents","negative"
"48","accusation","negative"
"49","accusations","negative"
"50","accuse","negative"
"51","accused","negative"
"52","accuses","negative"
"53","accusing","negative"
"54","acquiesce","negative"
"55","acquiesced","negative"
"56","acquiesces","negative"
"57","acquiescing","negative"
"58","acquit","negative"
"59","acquits","negative"
"60","acquittal","negative"
"61","acquittals","negative"
"62","acquitted","negative"
"63","acquitting","negative"
"64","adulterate","negative"
"65","adulterated","negative"
"66","adulterating","negative"
"67","adulteration","negative"
"68","adulterations","negative"
"69","adversarial","negative"
"70","adversaries","negative"
"71","adversary","negative"
"72","adverse","negative"
"73","adversely","negative"
"74","adversities","negative"
"75","adversity","negative"
"76","aftermath","negative"
"77","aftermaths","negative"
"78","against","negative"
"79","aggravate","negative"
"80","aggravated","negative"
"81","aggravates","negative"
"82","aggravating","negative"
"83","aggravation","negative"
"84","aggravations","negative"
"85","alerted","negative"
"86","alerting","negative"
"87","alienate","negative"
"88","alienated","negative"
"89","alienates","negative"
"90","alienating","negative"
"91","alienation","negative"
"92","alienations","negative"
"93","allegation","negative"
"94","allegations","negative"
"95","allege","negative"
"96","alleged","negative"
"97","allegedly","negative"
"98","alleges","negative"
"99","alleging","negative"
"100","annoy","negative"
"101","annoyance","negative"
"102","annoyances","negative"
"103","annoyed","negative"
"104","annoying","negative"
"105","annoys","negative"
"106","annul","negative"
"107","annulled","negative"
"108","annulling","negative"
"109","annulment","negative"
"110","annulments","negative"
"111","annuls","negative"
"112","anomalies","negative"
"113","anomalous","negative"
"114","anomalously","negative"
"115","anomaly","negative"
"116","anticompetitive","negative"
"117","antitrust","negative"
"118","argue","negative"
"119","argued","negative"
"120","arguing","negative"
"121","argument","negative"
"122","argumentative","negative"
"123","arguments","negative"
"124","arrearage","negative"
"125","arrearages","negative"
"126","arrears","negative"
"127","arrest","negative"
"128","arrested","negative"
"129","arrests","negative"
"130","artificially","negative"
"131","assault","negative"
"132","assaulted","negative"
"133","assaulting","negative"
"134","assaults","negative"
"135","assertions","negative"
"136","attrition","negative"
"137","aversely","negative"
"138","backdating","negative"
"139","bad","negative"
"140","bail","negative"
"141","bailout","negative"
"142","balk","negative"
"143","balked","negative"
"144","bankrupt","negative"
"145","bankruptcies","negative"
"146","bankruptcy","negative"
"147","bankrupted","negative"
"148","bankrupting","negative"
"149","bankrupts","negative"
"150","bans","negative"
"151","barred","negative"
"152","barrier","negative"
"153","barriers","negative"
"154","bottleneck","negative"
"155","bottlenecks","negative"
"156","boycott","negative"
"157","boycotted","negative"
"158","boycotting","negative"
"159","boycotts","negative"
"160","breach","negative"
"161","breached","negative"
"162","breaches","negative"
